Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT
Date,,,,,,,,,,,,,,,,,,,,
2010-01-04,6.424604892730713,6.695000171661377,15.504140853881836,23.1733455657959,6.439314685252985,6.83050012588501,15.572415434622153,23.28565551439861,6.3756721867282895,6.6570000648498535,15.442049545613775,22.903800546670613,6.407193227963411,6.8125,15.509088040175126,22.926263107630543,493729600,151998000,78541293,38409100
2010-01-05,6.435711860656738,6.734499931335449,15.435864448547363,23.180831909179688,6.472036226212398,6.77400016784668,15.531102746196067,23.285655766696657,6.4017887582350665,6.5904998779296875,15.375257398050586,22.94123696873832,6.4423164365074905,6.671500205993652,15.514775991446388,23.098472040964527,601904800,177038000,120638494,49749600
2010-01-06,6.333343505859375,6.612500190734863,15.046746253967285,23.03857421875,6.461229308639555,6.736499786376953,15.482123244769038,23.27068164798744,6.326738929835494,6.582499980926514,14.999745619439768,22.851390485600778,6.435712029359036,6.730000019073486,15.482123244769038,23.120934090228644,552160000,143576000,159744526,58182400
2010-01-07,6.321635723114014,6.5,14.696465492248535,22.79897689819336,6.364264863379803,6.616000175476074,15.089789994060343,22.986160611879352,6.275705096078485,6.440000057220459,14.660596261781539,22.604305664588118,6.356759662485861,6.600500106811523,15.074947488543486,22.933747972444618,477131200,220604000,257533695,50559700
2010-01-08,6.363663673400879,6.676000118255615,14.892386436462402,22.956212997436523,6.364264490248965,6.684000015258789,14.922813100848188,23.12093416905394,6.276005737781527,6.451499938964844,14.573027227454245,22.641744267549782,6.313229928785868,6.5279998779296875,14.644517527898834,22.67169435044307,447610800,196610000,189680313,51197400
2010-01-11,6.307528018951416,6.515500068664551,14.869874954223633,22.664203643798828,6.394285748396015,6.639999866485596,14.95274482243697,23.031083539077738,6.257694279757098,6.4604997634887695,14.694981549875894,22.551893704933587,6.388281586851676,6.63100004196167,14.95274482243697,22.993645940723756,462229600,175588000,289597429,68754700
2010-01-12,6.235776901245117,6.367499828338623,14.606915473937988,22.514461517333984,6.297318733848555,6.491000175476074,14.79689859019796,22.76154401345659,6.196751067341267,6.327499866485596,14.545567716371364,22.394664030007792,6.279906270670219,6.44950008392334,14.784282934580528,22.57436026099708,594459600,181926000,194859654,65912100
2010-01-13,6.323737144470215,6.45550012588501,14.523056983947754,22.724103927612305,6.332142969425046,6.485499858856201,14.554967898623037,22.851388914526648,6.127106092687319,6.287499904632568,14.196771906961038,22.469533953783625,6.2402821166726685,6.394999980926514,14.260840953549069,22.65671767406363,605892000,214464000,260838034,51863500
2010-01-14,6.287113666534424,6.367499828338623,14.59133243560791,23.180831909179688,6.318034696676718,6.519000053405762,14.698940131198578,23.285655766696657,6.274805536578112,6.320000171661377,14.417180679827055,22.65671833398882,6.3075278151255025,6.456999778747559,14.444144408033763,22.69415450789585,432894000,195498000,170239717,63228100
2010-01-15,6.182041645050049,6.35699987411499,14.347668647766113,23.105958938598633,6.352255967896085,6.482500076293945,14.683107381353494,23.390477565679603,6.180240397111936,6.353000164031982,14.29918281353783,22.99364756370765,6.33214203258716,6.459000110626221,14.677664813546432,23.270680098687777,594067600,307530000,218194794,79913200
2010-01-19,6.455526828765869,6.380499839782715,14.53616714477539,23.285654067993164,6.460029950088654,6.400000095367432,14.60543248513135,23.390476489764776,6.221370532159046,6.2164998054504395,14.255892906650914,22.97118537457994,6.254092011335684,6.315499782562256,14.377353285505858,23.023596585465747,730007600,177852000,173315202,46575700
2010-01-20,6.356159210205078,6.289000034332275,14.357810974121094,22.90379524230957,6.470835465485497,6.460000038146973,14.495598110341891,23.165852680424184,6.289214025269366,6.254000186920166,14.231155243387834,22.69414900619825,6.451622553329798,6.356500148773193,14.495598110341891,23.06851636690537,612152800,181494000,130515377,54849500
2010-01-21,6.246286392211914,6.330999851226807,14.42138671875,22.469539642333984,6.4035922287611005,6.40749979019165,14.51637876107834,23.00114085702593,6.220469297458186,6.25,14.155954961992752,22.462052120255375,6.366667835214984,6.36299991607666,14.432766289551418,22.918780970358856,608154400,199412000,253253712,73086700
